NumTache	Version	Personne	Activité	LibTache	DateDeb	Prevu	Realise	Restant
105	1.00	NP	TES	RB NP - Test 3	23/09/2016	18	18	0
106	1.00	NP	TES	RB NP - Test 4	25/10/2016	17	16	0
107	1.00	NP	TES	RB NP - Test 5	27/11/2016	18	19	0
108	1.00	NP	TES	RB NP - Test 6	29/12/2016	12	13	0
109	2.00	GL	DBE	GL - Définition besoin	03/01/2017	17	18	0
110	2.00	GL	ARF	GL - Architecture fonctionnelle	05/02/2017	18	16	4
111	2.00	GL	ANF	GL - Analyse fonctionnelle 1	07/03/2017	21	19	2
112	2.00	GL	ANF	GL - Analyse fonctionnelle 2	09/04/2017	20	5	15
113	2.00	AF	DBE	AF - Définition besoin	04/01/2017	19	18	2
114	2.00	AF	ARF	AF - Architecture fonctionnelle	06/02/2017	17	16	0
115	2.00	AF	ANF	AF - Analyse fonctionnelle 1	08/03/2017	23	19	5
116	2.00	AF	ANF	AF - Analyse fonctionnelle 2	10/04/2017	22	7	15
117	2.00	BN	ARF	BN - Archi fonctionnelle	03/01/2017	11	11	0
118	2.00	BN	ANF	BN - Analyse fonctionnelle	05/02/2017	13	11	2
119	2.00	BN	ART	BN - Archi technique	07/03/2017	12	8	4
120	2.00	BN	GDP	BN - Gestion de projet	09/04/2017	14	9	5
121	2.00	RF	ANT	RF - Analyse technique 1	03/01/2017	17	17	1
122	2.00	RF	ANT	RF - Analyse technique 2	05/02/2017	19	16	3
123	2.00	RF	DEV	RF - Dev 1	07/03/2017	20	20	0
124	2.00	RF	DEV	RF - Dev 2	09/04/2017	22	2	20
125	2.00	LB	ANF	LB - Analyse fonctionnelle 1	04/01/2017	18	18	0
126	2.00	LB	ANF	LB - Analyse fonctionnelle 2	06/02/2017	16	16	0
127	2.00	LB	ANT	LB - Analyse technique 1	08/03/2017	19	19	0
128	2.00	LB	ANT	LB - Analyse technique 2	10/04/2017	16	16	0
129	2.00	RB	DEV	RB - Dev 1	05/01/2017	14	15	0
130	2.00	RB	DEV	RB - Dev 2	07/02/2017	17	17	0
131	2.00	RB	DEV	RB - Dev 3	09/03/2017	19	14	7
132	2.00	RB	DEV	RB - Dev 4	11/04/2017	20	3	18
133	2.00	MW	DES	MW - Design 1	03/01/2017	19	15	4
134	2.00	MW	DES	MW - Design 2	05/02/2017	17	15	3
135	2.00	MW	INF	MW - Infographie 1	07/03/2017	23	24	0
136	2.00	MW	INF	MW - Infographie 2	09/04/2017	22	18	4
137	2.00	HK	RPT	HK - Rédaction plan de test 1	04/01/2017	16	16	0
138	2.00	HK	RPT	HK - Rédaction plan de test 2	06/02/2017	19	17	3
139	2.00	HK	TES	HK - Test 1	08/03/2017	16	14	0
140	2.00	HK	TES	HK - Test 2	10/04/2017	14	9	2
141	2.00	NP	RPT	NP - Rédaction plan de test 1	05/01/2017	16	15	0
142	2.00	NP	RPT	NP - Rédaction plan de test 2	07/02/2017	14	13	0
143	2.00	NP	TES	NP - Test 1	09/03/2017	17	14	5
144	2.00	NP	TES	NP - Test 2	11/04/2017	19	9	9
